run_id,model,experiment,augmentation,epochs,lr,batch_size,train_time_sec,test_accuracy,test_macro_f1,confusion_matrix_csv
efficientnet_b0__E1__A1,efficientnet_b0,E1,A1,20,0.0001,128,94.0160002708435,1.0,1.0,results\confusion_matrices\efficientnet_b0__E1__A1.csv
efficientnet_b0__E1__A2,efficientnet_b0,E1,A2,20,0.0001,128,95.22434711456299,0.95,0.9492063492063492,results\confusion_matrices\efficientnet_b0__E1__A2.csv
efficientnet_b0__E1__A3,efficientnet_b0,E1,A3,20,0.0001,128,106.4747052192688,1.0,1.0,results\confusion_matrices\efficientnet_b0__E1__A3.csv
efficientnet_b0__E1__A4,efficientnet_b0,E1,A4,20,0.0001,128,93.4995367527008,1.0,1.0,results\confusion_matrices\efficientnet_b0__E1__A4.csv
efficientnet_b0__E2__A1,efficientnet_b0,E2,A1,20,0.0001,128,118.54666328430176,0.8,0.766984126984127,results\confusion_matrices\efficientnet_b0__E2__A1.csv
efficientnet_b0__E2__A2,efficientnet_b0,E2,A2,20,0.0001,128,119.18483996391296,0.85,0.8412698412698412,results\confusion_matrices\efficientnet_b0__E2__A2.csv
efficientnet_b0__E2__A3,efficientnet_b0,E2,A3,20,0.0001,128,129.34724617004395,0.75,0.6945054945054945,results\confusion_matrices\efficientnet_b0__E2__A3.csv
efficientnet_b0__E2__A4,efficientnet_b0,E2,A4,20,0.0001,128,118.91153478622437,0.55,0.4847619047619047,results\confusion_matrices\efficientnet_b0__E2__A4.csv
efficientnet_b0__E3__A1,efficientnet_b0,E3,A1,20,0.0001,128,12.12067437171936,0.9,0.9028571428571428,results\confusion_matrices\efficientnet_b0__E3__A1.csv
efficientnet_b0__E3__A2,efficientnet_b0,E3,A2,20,0.0001,128,12.465521812438965,1.0,1.0,results\confusion_matrices\efficientnet_b0__E3__A2.csv
efficientnet_b0__E3__A3,efficientnet_b0,E3,A3,20,0.0001,128,17.276113271713257,0.95,0.9492063492063492,results\confusion_matrices\efficientnet_b0__E3__A3.csv
efficientnet_b0__E3__A4,efficientnet_b0,E3,A4,20,0.0001,128,12.439489126205444,1.0,1.0,results\confusion_matrices\efficientnet_b0__E3__A4.csv
efficientnet_b0__E4__A1,efficientnet_b0,E4,A1,20,0.0001,128,69.93776345252991,0.65,0.6114285714285714,results\confusion_matrices\efficientnet_b0__E4__A1.csv
efficientnet_b0__E4__A2,efficientnet_b0,E4,A2,20,0.0001,128,70.13521003723145,0.8,0.7333333333333333,results\confusion_matrices\efficientnet_b0__E4__A2.csv
efficientnet_b0__E4__A3,efficientnet_b0,E4,A3,20,0.0001,128,74.17152953147888,0.75,0.6655555555555556,results\confusion_matrices\efficientnet_b0__E4__A3.csv
